card1Id,card1Name,card2Id,card2Name,meaning,keywords,theme,isPremium,specialInterpretation
0,"The Fool",1,"The Magician","The Fool meets the Magician represents the beginning of a journey with all the tools needed for success. This pairing suggests that while you may be starting something new with enthusiasm and optimism, you already possess all the skills and resources necessary to manifest your desires. Trust your intuition while taking practical action.","beginnings;manifestation;potential;creativity","New Ventures",false,""
1,"The Magician",2,"The High Priestess","The Magician and High Priestess together represent the perfect balance between conscious action and intuitive wisdom. This powerful combination suggests that success comes when you blend practical skills with deep inner knowing. Listen to your intuition before taking action, and trust that your subconscious mind holds important keys to manifestation.","balance;intuition;manifestation;wisdom","Spiritual Development",false,""
3,"The Empress",4,"The Emperor","The ultimate power couple of the tarot, the Empress and Emperor together represent the perfect balance of feminine and masculine energies. This pairing suggests creating structures and boundaries (Emperor) to allow creativity and abundance (Empress) to flourish. It speaks to finding harmony between nurturing and authority in any situation.","leadership;abundance;structure;balance","Power & Authority",false,""
9,"The Hermit",17,"The Star","After a period of introspection and soul-searching, you emerge with renewed hope and clarity. The Hermit's wisdom combined with The Star's inspiration creates a powerful foundation for spiritual growth and healing. This pair suggests that time spent in solitude leads to profound insights that can now be shared as inspiration for others.","wisdom;hope;healing;spiritual growth","Spiritual Development",true,"This combination often appears when you've completed a significant period of inner work and are ready to share your light with the world."
10,"Wheel of Fortune",21,"The World","This powerful combination speaks to the completion of a major life cycle. The Wheel of Fortune represents the constant motion of fate and destiny, while The World signifies fulfillment and accomplishment. Together, they suggest that a significant phase in your life is coming to its natural conclusion, making way for an entirely new cycle of experiences.","completion;cycles;destiny;achievement","Life Cycles",false,""
13,"Death",17,"The Star","After profound transformation comes renewal and hope. This powerful combination suggests that a difficult ending or release has created space for healing, optimism and new possibilities. The Death card's transformative energy clears away what no longer serves you, while The Star brings healing, inspiration and renewed faith after the storm has passed.","transformation;hope;renewal;healing","Transformation",true,"This pair often appears when you've endured significant challenges that have fundamentally changed you, and are now ready to embrace a new perspective filled with possibility."
36,"Ace of Wands",50,"Ace of Swords","The meeting of fire and air elements creates a powerful surge of creative and intellectual energy. This pairing represents the perfect alignment of passion and clarity, suggesting a brilliant new idea that you feel deeply motivated to pursue. Your mind and spirit are working in harmony, giving you both the vision and enthusiasm needed for success.","inspiration;clarity;new ideas;breakthrough","Creativity",false,""
22,"Ace of Cups",64,"Ace of Pentacles","A beautiful combination of emotional fulfillment and material opportunity. This pair suggests that a new beginning in your emotional or spiritual life is aligned with practical abundance. A heart-centered approach to material matters brings sustainable prosperity, while your emotional wellbeing is supported by having your practical needs met.","abundance;emotional fulfillment;opportunity;new beginnings","Prosperity",false,""
7,"The Chariot",11,"Justice","Determination meets fairness. This powerful combination suggests that your drive and ambition are being channeled in ethically sound directions. Victory will come through fair play and balanced action. This pairing also indicates that decisive action taken now will create long-term balance and harmony in your situation.","determination;fairness;victory;balance","Achievement",false,""
15,"The Devil",16,"The Tower","A profound liberation is at hand. This intense combination indicates that structures built on false foundations are being dramatically dismantled. Though potentially shocking or disruptive, this collapse is ultimately freeing you from limitations, dependencies or illusions that have kept you bound. Prepare for sudden but necessary change.","liberation;breakthrough;awakening;release","Major Life Change",true,"This powerful combination often appears when you're breaking free from patterns that have kept you trapped for a long time. The initial disruption may feel frightening, but leads to extraordinary freedom."
